Entry	Gene names	Gene names  (synonym )	Protein names	Gene names  (primary )	Gene names  (ORF )	Gene names  (ordered locus )	Entry name	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (GO)	Gene ontology (molecular function)	Gene ontology IDs
J9VW42	CNAG_06230		TPT domain-containing protein		CNAG_06230		J9VW42_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]		GO:0016021
J9VG47	CNAG_03851		General transcription factor 3C polypeptide 5 (Transcription factor C subunit 1)		CNAG_03851		J9VG47_CRYNH	transcription initiation from RNA polymerase III promoter [GO:0006384]	transcription factor TFIIIC complex [GO:0000127]	transcription factor TFIIIC complex [GO:0000127]; transcription initiation from RNA polymerase III promoter [GO:0006384]		GO:0000127; GO:0006384
J9VX12	CNAG_01713		Uncharacterized protein		CNAG_01713		J9VX12_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]		GO:0016021
J9VUL6	CNAG_01726		FACT complex subunit		CNAG_01726		J9VUL6_CRYNH	DNA repair [GO:0006281]; DNA replication [GO:0006260]	FACT complex [GO:0035101]	FACT complex [GO:0035101]; DNA repair [GO:0006281]; DNA replication [GO:0006260]		GO:0006260; GO:0006281; GO:0035101
J9W1W9	CNAG_01904		Vacuolar amino acid transporter 5		CNAG_01904		J9W1W9_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]		GO:0016021
J9VRB6	CNAG_04262		E3 ubiquitin-protein ligase NRDP1		CNAG_04262		J9VRB6_CRYNH		cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; zinc ion binding [GO:0008270]	zinc ion binding [GO:0008270]	GO:0005737; GO:0008270
J9VQ53	CNAG_01398		ATP-dependent RNA helicase DOB1		CNAG_01398		J9VQ53_CRYNH	RNA catabolic process [GO:0006401]		ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]; RNA catabolic process [GO:0006401]	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]	GO:0003723; GO:0003724; GO:0005524; GO:0006401; GO:0016787
J9VZB9	CNAG_05374		Chromosome transmission fidelity protein 18		CNAG_05374		J9VZB9_CRYNH			ATP binding [GO:0005524]; ATPase activity [GO:0016887]	ATPase activity [GO:0016887]; ATP binding [GO:0005524]	GO:0005524; GO:0016887
J9VQ47	CNAG_03372		Vacuolar protein-sorting protein BRO1		CNAG_03372		J9VQ47_CRYNH					
J9VVG0	CNAG_02114		Uncharacterized protein		CNAG_02114		J9VVG0_CRYNH		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]		GO:0005886; GO:0016021
J9VS37	CNAG_04347		Aspartate kinase (EC 2.7.2.4)		CNAG_04347		J9VS37_CRYNH	cellular amino acid biosynthetic process [GO:0008652]		aspartate kinase activity [GO:0004072]; cellular amino acid biosynthetic process [GO:0008652]	aspartate kinase activity [GO:0004072]	GO:0004072; GO:0008652
J9VN90	CNAG_07563		Glutamyl-tRNA synthetase (EC 6.1.1.17)		CNAG_07563		J9VN90_CRYNH	glutamyl-tRNA aminoacylation [GO:0006424]		ATP binding [GO:0005524]; glutamate-tRNA ligase activity [GO:0004818]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270]; glutamyl-tRNA aminoacylation [GO:0006424]	ATP binding [GO:0005524]; glutamate-tRNA ligase activity [GO:0004818]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270]	GO:0000049; GO:0004818; GO:0005524; GO:0006424; GO:0008270
J9VTT4	CNAG_05686		Uncharacterized protein		CNAG_05686		J9VTT4_CRYNH					
J9VLD2	CNAG_01088		Uncharacterized protein		CNAG_01088		J9VLD2_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]		GO:0016021
J9W3N5	CNAG_05393		ATPase		CNAG_05393		J9W3N5_CRYNH	DNA repair [GO:0006281]; DNA replication [GO:0006260]		ATP binding [GO:0005524]; ATPase activity [GO:0016887]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]; DNA repair [GO:0006281]; DNA replication [GO:0006260]	ATPase activity [GO:0016887]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]	GO:0003677; GO:0005524; GO:0006260; GO:0006281; GO:0016887; GO:0046872
J9VS64	CNAG_02404		Nuclear segregation protein Bfr1		CNAG_02404		J9VS64_CRYNH					
J9VLV2	CNAG_00892		DUF2052 domain-containing protein		CNAG_00892		J9VLV2_CRYNH					
J9VKP2	CNAG_00119		Uncharacterized protein		CNAG_00119		J9VKP2_CRYNH					
J9VEZ2	CNAG_00522		C2 domain-containing protein		CNAG_00522		J9VEZ2_CRYNH	endoplasmic reticulum-plasma membrane tethering [GO:0061817]; lipid transport [GO:0006869]	integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; lipid binding [GO:0008289]; endoplasmic reticulum-plasma membrane tethering [GO:0061817]; lipid transport [GO:0006869]	lipid binding [GO:0008289]	GO:0006869; GO:0008289; GO:0016021; GO:0061817
J9VJW9	CNAG_05265		Uncharacterized protein		CNAG_05265		J9VJW9_CRYNH					
J9W1V5	CNAG_05552		Transcription activator snf2l1		CNAG_05552		J9W1V5_CRYNH	ATP-dependent chromatin remodeling [GO:0043044]	nucleus [GO:0005634]	nucleus [GO:0005634]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides [GO:0016818]; nucleosome binding [GO:0031491]; nucleosome-dependent ATPase activity [GO:0070615]; ATP-dependent chromatin remodeling [GO:0043044]	ATP binding [GO:0005524]; DNA binding [GO:0003677]; hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides [GO:0016818]; nucleosome binding [GO:0031491]; nucleosome-dependent ATPase activity [GO:0070615]	GO:0003677; GO:0005524; GO:0005634; GO:0016818; GO:0031491; GO:0043044; GO:0070615
J9VT55	CNAG_04798		Regulatory protein cys-3		CNAG_04798		J9VT55_CRYNH			DNA-binding transcription factor activity [GO:0003700]	DNA-binding transcription factor activity [GO:0003700]	GO:0003700
T2BQ30	CNAG_07961		Uncharacterized protein		CNAG_07961		T2BQ30_CRYNH					
J9VDV3	CNAG_00328		DNA excision repair protein ERCC-5		CNAG_00328		J9VDV3_CRYNH	nucleotide-excision repair [GO:0006289]	nucleus [GO:0005634]	nucleus [GO:0005634]; endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]; single-stranded DNA binding [GO:0003697]; nucleotide-excision repair [GO:0006289]	endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]; single-stranded DNA binding [GO:0003697]	GO:0003697; GO:0004519; GO:0005634; GO:0006289; GO:0046872
J9VG05	CNAG_06773		Protein transporter SEC24		CNAG_06773		J9VG05_CRYNH	endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; intracellular protein transport [GO:0006886]	COPII vesicle coat [GO:0030127]	COPII vesicle coat [GO:0030127]; zinc ion binding [GO:0008270]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; intracellular protein transport [GO:0006886]	zinc ion binding [GO:0008270]	GO:0006886; GO:0006888; GO:0008270; GO:0030127
J9VSU4	CNAG_07424		DNA-directed RNA polymerase I, II, and III subunit RPABC4		CNAG_07424		J9VSU4_CRYNH	transcription, DNA-templated [GO:0006351]		DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; zinc ion binding [GO:0008270]; transcription, DNA-templated [GO:0006351]	DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; zinc ion binding [GO:0008270]	GO:0003677; GO:0003899; GO:0006351; GO:0008270
T2BNW3	CNAG_02388		Uncharacterized protein		CNAG_02388		T2BNW3_CRYNH					
J9VHR8	CNAG_00780		Uncharacterized protein		CNAG_00780		J9VHR8_CRYNH					
J9VJM4	CNAG_00685		Pre-mRNA-splicing ATP-dependent RNA helicase PRP28		CNAG_00685		J9VJM4_CRYNH			ATP binding [GO:0005524]; helicase activity [GO:0004386]; hydrolase activity [GO:0016787]; nucleic acid binding [GO:0003676]	ATP binding [GO:0005524]; helicase activity [GO:0004386]; hydrolase activity [GO:0016787]; nucleic acid binding [GO:0003676]	GO:0003676; GO:0004386; GO:0005524; GO:0016787
J9VXJ3	CNAG_04867		Vacuolar protein		CNAG_04867		J9VXJ3_CRYNH		integral component of plasma membrane [GO:0005887]	integral component of plasma membrane [GO:0005887]; potassium ion transmembrane transporter activity [GO:0015079]	potassium ion transmembrane transporter activity [GO:0015079]	GO:0005887; GO:0015079
J9VNA5	CNAG_02603		Early growth response protein 1		CNAG_02603		J9VNA5_CRYNH	transcription, DNA-templated [GO:0006351]		DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; zinc ion binding [GO:0008270]; transcription, DNA-templated [GO:0006351]	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; zinc ion binding [GO:0008270]	GO:0003677; GO:0003700; GO:0006351; GO:0008270
J9VRN6	CNAG_02549		DNA_LIGASE_A3 domain-containing protein		CNAG_02549		J9VRN6_CRYNH	DNA recombination [GO:0006310]; DNA repair [GO:0006281]		ATP binding [GO:0005524]; DNA ligase (ATP) activity [GO:0003910]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]	ATP binding [GO:0005524]; DNA ligase (ATP) activity [GO:0003910]	GO:0003910; GO:0005524; GO:0006281; GO:0006310
J9VFC5	CNAG_06753		Nuclear cap-binding protein subunit 1		CNAG_06753		J9VFC5_CRYNH	mRNA cis splicing, via spliceosome [GO:0045292]; mRNA transport [GO:0051028]	nuclear cap binding complex [GO:0005846]	nuclear cap binding complex [GO:0005846]; RNA cap binding [GO:0000339]; mRNA cis splicing, via spliceosome [GO:0045292]; mRNA transport [GO:0051028]	RNA cap binding [GO:0000339]	GO:0000339; GO:0005846; GO:0045292; GO:0051028
J9VRR4	CNAG_04196		Actin-related protein 2		CNAG_04196		J9VRR4_CRYNH	Arp2/3 complex-mediated actin nucleation [GO:0034314]	Arp2/3 protein complex [GO:0005885]; cytoplasm [GO:0005737]	Arp2/3 protein complex [GO:0005885]; cytoplasm [GO:0005737]; actin binding [GO:0003779]; ATP binding [GO:0005524]; Arp2/3 complex-mediated actin nucleation [GO:0034314]	actin binding [GO:0003779]; ATP binding [GO:0005524]	GO:0003779; GO:0005524; GO:0005737; GO:0005885; GO:0034314
J9VG46	CNAG_06716		RRM domain-containing protein		CNAG_06716		J9VG46_CRYNH			RNA binding [GO:0003723]	RNA binding [GO:0003723]	GO:0003723
J9W2U1	CNAG_06217		Uncharacterized protein		CNAG_06217		J9W2U1_CRYNH					
J9VI75	CNAG_03598		Ubiquilin		CNAG_03598		J9VI75_CRYNH					
J9W2G9	CNAG_06100		Uncharacterized protein		CNAG_06100		J9W2G9_CRYNH			single-stranded DNA 5'-3' exodeoxyribonuclease activity [GO:0045145]	single-stranded DNA 5'-3' exodeoxyribonuclease activity [GO:0045145]	GO:0045145
J9VTL8	CNAG_01593		Ribosome biogenesis protein SSF1/2		CNAG_01593		J9VTL8_CRYNH	rRNA processing [GO:0006364]		rRNA binding [GO:0019843]; rRNA processing [GO:0006364]	rRNA binding [GO:0019843]	GO:0006364; GO:0019843
J9W0C4	CNAG_04739		Cytochrome c oxidase assembly protein COX19		CNAG_04739		J9W0C4_CRYNH					
J9VI95	CNAG_03623		Malonic semialdehyde reductase		CNAG_03623		J9VI95_CRYNH			oxidoreductase activity [GO:0016491]	oxidoreductase activity [GO:0016491]	GO:0016491
J9VRX9	CNAG_05847		Thioredoxin reductase (EC 1.8.1.9)		CNAG_05847		J9VRX9_CRYNH	removal of superoxide radicals [GO:0019430]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; thioredoxin-disulfide reductase activity [GO:0004791]; removal of superoxide radicals [GO:0019430]	thioredoxin-disulfide reductase activity [GO:0004791]	GO:0004791; GO:0005737; GO:0019430
J9VNC5	CNAG_06672		Formate dehydrogenase (FDH) (EC 1.17.1.9) (NAD-dependent formate dehydrogenase)		CNAG_06672		J9VNC5_CRYNH	formate catabolic process [GO:0042183]	cytoplasm [GO:0005737]; formate dehydrogenase complex [GO:0009326]	cytoplasm [GO:0005737]; formate dehydrogenase complex [GO:0009326]; formate dehydrogenase (NAD+) activity [GO:0008863]; NAD binding [GO:0051287]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]; formate catabolic process [GO:0042183]	formate dehydrogenase (NAD+) activity [GO:0008863]; NAD binding [GO:0051287]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]	GO:0005737; GO:0008863; GO:0009326; GO:0016616; GO:0042183; GO:0051287
J9VPV3	CNAG_05972		Uncharacterized protein		CNAG_05972		J9VPV3_CRYNH					
J9VY62	CNAG_04653		Uncharacterized protein		CNAG_04653		J9VY62_CRYNH					
J9VWI3	CNAG_01571		Uncharacterized protein		CNAG_01571		J9VWI3_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]		GO:0016021
J9VP22	CNAG_05912		Uncharacterized protein		CNAG_05912		J9VP22_CRYNH					
J9VTD7	CNAG_03456		RWD domain-containing protein		CNAG_03456		J9VTD7_CRYNH					
J9VU84	CNAG_05855		Uncharacterized protein		CNAG_05855		J9VU84_CRYNH					
J9VN13	CNAG_06576		Allergen		CNAG_06576		J9VN13_CRYNH					
J9W092	CNAG_04791		Uncharacterized protein		CNAG_04791		J9W092_CRYNH					
J9VTE7	CNAG_01165		D-erythro-sphingosine kinase		CNAG_01165		J9VTE7_CRYNH			NAD+ kinase activity [GO:0003951]	NAD+ kinase activity [GO:0003951]	GO:0003951
J9VFZ5	CNAG_06786		Uncharacterized protein		CNAG_06786		J9VFZ5_CRYNH					
J9VTV4	CNAG_07756		Cell division control protein		CNAG_07756		J9VTV4_CRYNH	cell division [GO:0051301]; positive regulation of ubiquitin protein ligase activity [GO:1904668]		anaphase-promoting complex binding [GO:0010997]; ubiquitin-protein transferase activator activity [GO:0097027]; cell division [GO:0051301]; positive regulation of ubiquitin protein ligase activity [GO:1904668]	anaphase-promoting complex binding [GO:0010997]; ubiquitin-protein transferase activator activity [GO:0097027]	GO:0010997; GO:0051301; GO:0097027; GO:1904668
T2BMV6	CNAG_05746		Swi5-dependent recombination DNA repair protein 1, variant		CNAG_05746		T2BMV6_CRYNH					
J9VET0	CNAG_00430		Required for respiratory growth protein 9, mitochondrial		CNAG_00430		J9VET0_CRYNH		mitochondrion [GO:0005739]	mitochondrion [GO:0005739]		GO:0005739
J9VIH8	CNAG_02697		Velvet domain-containing protein		CNAG_02697		J9VIH8_CRYNH		nucleus [GO:0005634]	nucleus [GO:0005634]		GO:0005634
J9VVS4	CNAG_04723		Uncharacterized protein		CNAG_04723		J9VVS4_CRYNH					
J9VTU1	CNAG_01471		Uncharacterized protein		CNAG_01471		J9VTU1_CRYNH					
J9VDK8	CNAG_00233		Chaperone protein		CNAG_00233		J9VDK8_CRYNH					
J9W2U5	CNAG_06222		Large subunit ribosomal protein L32e		CNAG_06222		J9W2U5_CRYNH	translation [GO:0006412]	ribosome [GO:0005840]	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	structural constituent of ribosome [GO:0003735]	GO:0003735; GO:0005840; GO:0006412
T2BNN9	CNAG_01303		Uncharacterized protein		CNAG_01303		T2BNN9_CRYNH					
J9VTM1	CNAG_06649		Haloacid dehalogenase, type II		CNAG_06649		J9VTM1_CRYNH			hydrolase activity [GO:0016787]	hydrolase activity [GO:0016787]	GO:0016787
J9VR35	CNAG_01072		Amidase		CNAG_01072		J9VR35_CRYNH			hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines [GO:0016813]	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines [GO:0016813]	GO:0016813
J9VKR0	CNAG_02681		Phytase		CNAG_02681		J9VKR0_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]		GO:0016021
J9VN34	CNAG_01286		Uncharacterized protein		CNAG_01286		J9VN34_CRYNH					
J9VXG5	CNAG_05507		Small subunit ribosomal protein S8		CNAG_05507		J9VXG5_CRYNH	translation [GO:0006412]	ribosome [GO:0005840]	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	structural constituent of ribosome [GO:0003735]	GO:0003735; GO:0005840; GO:0006412
J9VSG9	CNAG_07641		Monosaccharide transporter		CNAG_07641		J9VSG9_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]	transmembrane transporter activity [GO:0022857]	GO:0016021; GO:0022857
J9VH40	CNAG_02965		PITH domain-containing protein		CNAG_02965		J9VH40_CRYNH					
J9VWD6	CNAG_05366		Eukaryotic translation initiation factor 2A (eIF-2A)		CNAG_05366		J9VWD6_CRYNH			translation initiation factor activity [GO:0003743]	translation initiation factor activity [GO:0003743]	GO:0003743
J9VI43	CNAG_02585		VWFA domain-containing protein		CNAG_02585		J9VI43_CRYNH					
J9VQR8	CNAG_07536		DNA-directed RNA polymerase I subunit RPA43		CNAG_07536		J9VQR8_CRYNH		nucleolus [GO:0005730]	nucleolus [GO:0005730]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]	DNA-directed 5'-3' RNA polymerase activity [GO:0003899]	GO:0003899; GO:0005730
T2BQK4	CNAG_06727		Uncharacterized protein		CNAG_06727		T2BQK4_CRYNH					
J9W494	CNAG_05634		Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit		CNAG_05634		J9W494_CRYNH	signal transduction [GO:0007165]	protein phosphatase type 2A complex [GO:0000159]	protein phosphatase type 2A complex [GO:0000159]; protein phosphatase regulator activity [GO:0019888]; signal transduction [GO:0007165]	protein phosphatase regulator activity [GO:0019888]	GO:0000159; GO:0007165; GO:0019888
J9VGW5	CNAG_00474		Uncharacterized protein		CNAG_00474		J9VGW5_CRYNH					
J9VVL0	CNAG_04795		Adenine nucleotide transporter		CNAG_04795		J9VVL0_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]		GO:0016021
J9VE23	CNAG_00146		5'/3'-nucleotidase SurE		CNAG_00146		J9VE23_CRYNH			hydrolase activity [GO:0016787]	hydrolase activity [GO:0016787]	GO:0016787
J9VQ01	CNAG_03321		Vacuolar protein sorting-associated protein 9		CNAG_03321		J9VQ01_CRYNH			ubiquitin binding [GO:0043130]	ubiquitin binding [GO:0043130]	GO:0043130
J9VN03	CNAG_02192		Uncharacterized protein		CNAG_02192		J9VN03_CRYNH					
J9VIV5	CNAG_00374		Senescence domain-containing protein		CNAG_00374		J9VIV5_CRYNH					
J9VGY4	CNAG_00500		Protein phosphatase		CNAG_00500		J9VGY4_CRYNH			metal ion binding [GO:0046872]; protein serine/threonine phosphatase activity [GO:0004722]	metal ion binding [GO:0046872]; protein serine/threonine phosphatase activity [GO:0004722]	GO:0004722; GO:0046872
J9VQ94	CNAG_01354		MFS domain-containing protein		CNAG_01354		J9VQ94_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]	transmembrane transporter activity [GO:0022857]	GO:0016021; GO:0022857
T2BQS8	CNAG_03775		Uncharacterized protein		CNAG_03775		T2BQS8_CRYNH					
J9VHQ8	CNAG_02956		Transcription factor IWS1		CNAG_02956		J9VHQ8_CRYNH		nucleus [GO:0005634]	nucleus [GO:0005634]		GO:0005634
J9VH01	CNAG_00520		Uncharacterized protein		CNAG_00520		J9VH01_CRYNH		P-body [GO:0000932]	P-body [GO:0000932]; nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	GO:0000932; GO:0003676; GO:0008270
J9VK25	CNAG_00803		Solute carrier family 24 (Sodium/potassium/calcium exchanger), member 6		CNAG_00803		J9VK25_CRYNH	transmembrane transport [GO:0055085]	integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; transmembrane transport [GO:0055085]		GO:0016021; GO:0055085
J9VRN3	CNAG_04158		Protein HIR		CNAG_04158		J9VRN3_CRYNH	chromatin organization [GO:0006325]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]	nucleus [GO:0005634]	nucleus [GO:0005634]; chromatin organization [GO:0006325]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]		GO:0005634; GO:0006325; GO:0006351; GO:0006355
J9VP66	ERB1 CNAG_03975		Ribosome biogenesis protein ERB1 (Eukaryotic ribosome biogenesis protein 1)	ERB1	CNAG_03975		J9VP66_CRYNH	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000466]; maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]	nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; preribosome, large subunit precursor [GO:0030687]	nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; preribosome, large subunit precursor [GO:0030687]; ribonucleoprotein complex binding [GO:0043021]; maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000466]; maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]	ribonucleoprotein complex binding [GO:0043021]	GO:0000463; GO:0000466; GO:0005654; GO:0005730; GO:0030687; GO:0043021
J9VLX0	CNAG_00564		Velvet domain-containing protein		CNAG_00564		J9VLX0_CRYNH		nucleus [GO:0005634]	nucleus [GO:0005634]		GO:0005634
J9VHG5	CNAG_03075		DNA polymerase delta subunit 3		CNAG_03075		J9VHG5_CRYNH	DNA replication [GO:0006260]	delta DNA polymerase complex [GO:0043625]	delta DNA polymerase complex [GO:0043625]; DNA replication [GO:0006260]		GO:0006260; GO:0043625
J9VV49	CNAG_03229		Specific transcriptional repressor		CNAG_03229		J9VV49_CRYNH		nucleus [GO:0005634]	nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]	DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]	GO:0000981; GO:0003677; GO:0005634
J9VWN0	CNAG_06425		Fungal specific transcription factor		CNAG_06425		J9VWN0_CRYNH	transcription, DNA-templated [GO:0006351]		DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]; transcription, DNA-templated [GO:0006351]	DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]	GO:0000981; GO:0003677; GO:0006351; GO:0008270
J9VUW2	CNAG_01848		Protein SQS1		CNAG_01848		J9VUW2_CRYNH		cytoplasm [GO:0005737]; nucleus [GO:0005634]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; nucleic acid binding [GO:0003676]	nucleic acid binding [GO:0003676]	GO:0003676; GO:0005634; GO:0005737
J9VRU4	CNAG_05135		Ca2-transporting ATPase		CNAG_05135		J9VRU4_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]	ATPase activity [GO:0016887]; ATP binding [GO:0005524]	GO:0005524; GO:0016021; GO:0016887
J9VXP3	CNAG_01992		Uncharacterized protein		CNAG_01992		J9VXP3_CRYNH					
J9VL28	CNAG_00241		Protein AIR1/2		CNAG_00241		J9VL28_CRYNH			nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	GO:0003676; GO:0008270
J9VMY1	CNAG_06755		Threonyl-tRNA synthetase (EC 6.1.1.3)		CNAG_06755		J9VMY1_CRYNH	threonyl-tRNA aminoacylation [GO:0006435]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; threonine-tRNA ligase activity [GO:0004829]; threonyl-tRNA aminoacylation [GO:0006435]	ATP binding [GO:0005524]; threonine-tRNA ligase activity [GO:0004829]	GO:0004829; GO:0005524; GO:0005737; GO:0006435
J9VU54	CNAG_04184		Zn(2)-C6 fungal-type domain-containing protein		CNAG_04184		J9VU54_CRYNH	transcription, DNA-templated [GO:0006351]		DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]; transcription, DNA-templated [GO:0006351]	DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]	GO:0000981; GO:0003677; GO:0006351; GO:0008270
J9VS81	CNAG_07188		Uncharacterized protein		CNAG_07188		J9VS81_CRYNH					
J9VI03	CNAG_07552		DNA repair protein Rad8		CNAG_07552		J9VI03_CRYNH	methylation [GO:0032259]	nucleus [GO:0005634]	nucleus [GO:0005634]; ATP binding [GO:0005524]; methyltransferase activity [GO:0008168]; nucleosome-dependent ATPase activity [GO:0070615]; methylation [GO:0032259]	ATP binding [GO:0005524]; methyltransferase activity [GO:0008168]; nucleosome-dependent ATPase activity [GO:0070615]	GO:0005524; GO:0005634; GO:0008168; GO:0032259; GO:0070615
J9VG31	CNAG_03831		Uncharacterized protein		CNAG_03831		J9VG31_CRYNH					
J9W3E2	CNAG_06473		Uncharacterized protein		CNAG_06473		J9W3E2_CRYNH	actin filament organization [GO:0007015]; endocytosis [GO:0006897]		actin filament organization [GO:0007015]; endocytosis [GO:0006897]		GO:0006897; GO:0007015
J9W0C1	CNAG_04744		Mannose-6-phosphate isomerase (EC 5.3.1.8) (Phosphohexomutase) (Phosphomannose isomerase)		CNAG_04744		J9W0C1_CRYNH	carbohydrate metabolic process [GO:0005975]; GDP-mannose biosynthetic process [GO:0009298]		mannose-6-phosphate isomerase activity [GO:0004476]; zinc ion binding [GO:0008270]; carbohydrate metabolic process [GO:0005975]; GDP-mannose biosynthetic process [GO:0009298]	mannose-6-phosphate isomerase activity [GO:0004476]; zinc ion binding [GO:0008270]	GO:0004476; GO:0005975; GO:0008270; GO:0009298
J9VHZ0	CNAG_06799		Uroporphyrinogen decarboxylase (EC 4.1.1.37)		CNAG_06799		J9VHZ0_CRYNH	protoporphyrinogen IX biosynthetic process [GO:0006782]		uroporphyrinogen decarboxylase activity [GO:0004853]; protoporphyrinogen IX biosynthetic process [GO:0006782]	uroporphyrinogen decarboxylase activity [GO:0004853]	GO:0004853; GO:0006782
J9VN93	CNAG_03670		Non-specific serine/threonine protein kinase (EC 2.7.11.1)		CNAG_03670		J9VN93_CRYNH	mRNA processing [GO:0006397]	integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; ribonuclease activity [GO:0004540]; mRNA processing [GO:0006397]	ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; ribonuclease activity [GO:0004540]	GO:0004540; GO:0005524; GO:0006397; GO:0016021; GO:0106310; GO:0106311
J9VG78	CNAG_03630		Uncharacterized protein		CNAG_03630		J9VG78_CRYNH					
